ZTime,Time,OAT,DT,SLP,WD,WS,SKY,PPT,PPT6,Plsr.Event,Plsr.Source
20170820040000,20170820000000,178,172,10171,0,0,0,0,-9999,,
20170820050000,20170820010000,178,172,10177,0,0,0,0,-9999,,
20170820060000,20170820020000,167,161,10181,0,0,0,0,-9999,,
20170820070000,20170820030000,161,161,10182,0,0,4,0,-9999,,
20170820080000,20170820040000,156,156,10186,180,15,-9999,0,-9999,,
20170820090000,20170820050000,161,161,10192,0,0,9,0,-9999,,
20170820100000,20170820060000,156,156,10196,0,0,9,0,-9999,,
20170820110000,20170820070000,150,150,-9999,0,0,-9999,0,-9999,,
20170820120000,20170820080000,156,156,10206,0,0,9,0,-9999,,
20170820130000,20170820090000,167,167,10211,0,0,-9999,0,-9999,,
20170820140000,20170820100000,178,178,10213,130,15,4,0,-9999,,
20170820150000,20170820110000,217,183,10219,110,15,2,0,-9999,,
20170820160000,20170820120000,233,161,10216,140,31,2,0,-9999,,
20170820170000,20170820130000,250,161,10213,150,26,0,0,-9999,,
20170820180000,20170820140000,261,161,10213,150,31,2,0,-9999,,
20170820190000,20170820150000,267,144,10210,0,0,2,0,-9999,,
20170820200000,20170820160000,278,144,10204,190,21,2,0,-9999,,
20170820210000,20170820170000,278,139,10203,200,26,2,0,-9999,,
20170820220000,20170820180000,278,150,10199,200,26,2,0,-9999,,
20170820230000,20170820190000,272,156,10200,0,0,4,0,-9999,,
20170821000000,20170820200000,261,172,10204,140,21,-9999,0,-9999,,
20170821010000,20170820210000,250,178,10209,0,0,4,0,-9999,,
20170821020000,20170820220000,233,183,10216,0,0,2,0,-9999,,
20170821030000,20170820230000,217,189,10216,170,15,4,0,-9999,,
20170821040000,20170821000000,228,172,10213,0,0,-9999,0,-9999,,
20170821050000,20170821010000,217,178,10214,140,15,-9999,0,-9999,,
20170821060000,20170821020000,211,178,10212,0,0,6,0,-9999,,
20170821070000,20170821030000,200,178,10211,0,0,4,0,-9999,,
20170821080000,20170821040000,200,172,10211,0,0,4,0,-9999,,
20170821090000,20170821050000,194,172,10212,0,0,4,0,-9999,,
20170821100000,20170821060000,189,172,10213,0,0,4,0,-9999,,
20170821110000,20170821070000,189,172,10217,0,0,-9999,0,-9999,,
20170821120000,20170821080000,200,178,10219,160,15,6,0,-9999,,
20170821130000,20170821090000,217,189,10223,150,15,-9999,0,-9999,,
20170821140000,20170821100000,239,206,10221,-9999,15,4,0,-9999,,
20170821150000,20170821110000,267,206,10220,210,46,4,0,-9999,,
20170821160000,20170821120000,283,211,10218,-9999,31,4,0,-9999,,
20170821170000,20170821130000,294,194,10214,210,51,4,0,-9999,,
20170821180000,20170821140000,294,200,10209,210,51,6,0,-9999,,
20170821190000,20170821150000,278,206,10206,210,36,-9999,0,-9999,,
20170821200000,20170821160000,289,217,10203,200,46,-9999,0,-9999,,
20170821210000,20170821170000,289,217,10201,210,41,8,0,-9999,,
20170821220000,20170821180000,283,222,10198,220,36,-9999,0,-9999,,
20170821230000,20170821190000,283,222,10194,230,36,-9999,0,-9999,,
20170822000000,20170821200000,278,222,10193,210,21,4,0,-9999,,
20170822010000,20170821210000,261,228,10198,180,21,-9999,0,-9999,,
20170822020000,20170821220000,250,228,10199,190,26,4,0,-9999,,
20170822030000,20170821230000,244,222,10196,180,21,4,0,-9999,,
20170822040000,20170822000000,233,217,10190,170,21,2,0,-9999,,
20170822050000,20170822010000,233,211,10187,190,15,2,0,-9999,,
20170822060000,20170822020000,228,211,10180,180,21,6,0,-9999,,
20170822070000,20170822030000,228,211,10175,170,21,-9999,0,-9999,,
20170822080000,20170822040000,228,206,10169,190,21,-9999,0,-9999,,
20170822090000,20170822050000,222,206,10165,180,15,6,0,-9999,,
20170822100000,20170822060000,217,200,10162,160,21,-9999,0,-9999,,
20170822110000,20170822070000,217,200,10161,160,31,-9999,0,-9999,,
20170822120000,20170822080000,228,206,10158,180,26,6,0,-9999,,
20170822130000,20170822090000,250,206,10152,200,41,-9999,0,-9999,,
20170822140000,20170822100000,261,211,10147,210,67,-9999,0,-9999,,
20170822150000,20170822110000,272,206,10141,230,62,6,0,-9999,,
20170822160000,20170822120000,283,206,10136,210,88,-9999,0,-9999,,
20170822170000,20170822130000,289,211,10122,230,82,-9999,0,-9999,,
20170822180000,20170822140000,256,222,10122,210,72,6,5,-9999,,
20170822190000,20170822150000,239,222,10112,210,36,-9999,137,-9999,,
20170822200000,20170822160000,239,222,10108,230,46,-9999,3,-9999,,
20170822210000,20170822170000,233,217,10107,230,41,6,8,-9999,,
20170822220000,20170822180000,233,217,10109,240,36,-9999,-1,-9999,,
20170822230000,20170822190000,239,211,10112,230,46,-9999,0,-9999,,
20170823000000,20170822200000,233,211,10109,230,26,6,0,150,,
20170823010000,20170822210000,228,211,10107,240,26,4,0,-9999,,
20170823020000,20170822220000,222,206,10112,240,31,4,0,-9999,,
20170823030000,20170822230000,217,206,10116,240,26,6,0,-9999,,
20170823040000,20170823000000,211,189,10115,320,41,-9999,3,-9999,,
20170823050000,20170823010000,194,183,10118,0,0,4,-1,-9999,,
20170823060000,20170823020000,194,183,10122,290,15,8,0,3,,
20170823070000,20170823030000,194,183,10126,310,26,-9999,0,-9999,,
20170823080000,20170823040000,189,178,10128,320,26,-9999,0,-9999,,
20170823090000,20170823050000,183,178,10131,310,26,4,0,-9999,,
20170823100000,20170823060000,178,172,10133,310,21,4,0,-9999,,
20170823110000,20170823070000,178,172,10138,0,0,-9999,0,-9999,,
20170823120000,20170823080000,178,172,10143,0,0,4,0,-9999,,
20170823130000,20170823090000,200,150,10146,360,46,4,0,-9999,,
20170823140000,20170823100000,206,133,10149,330,46,-9999,0,-9999,,
20170823150000,20170823110000,211,128,10151,310,51,4,0,-9999,,
20170823160000,20170823120000,228,117,10150,330,26,4,0,-9999,,
20170823170000,20170823130000,233,106,10150,-9999,15,-9999,0,-9999,,
20170823180000,20170823140000,233,100,10148,320,31,6,0,-9999,,
20170823190000,20170823150000,239,100,10146,230,46,-9999,0,-9999,,
20170823200000,20170823160000,239,111,10143,280,31,4,0,-9999,,
20170823210000,20170823170000,244,117,10140,270,31,4,0,-9999,,
20170823220000,20170823180000,239,111,10140,260,26,4,0,-9999,,
20170823230000,20170823190000,222,117,10143,280,36,-9999,0,-9999,,
20170824000000,20170823200000,217,122,10145,270,26,6,0,-9999,,
20170824010000,20170823210000,200,128,10146,290,21,-9999,0,-9999,,
20170824020000,20170823220000,200,122,10150,280,15,-9999,0,-9999,,
20170824030000,20170823230000,194,122,10150,290,15,6,0,-9999,,
20170824040000,20170824000000,183,133,10152,280,21,-9999,0,-9999,,
20170824050000,20170824010000,172,139,10152,0,0,-9999,0,-9999,,
20170824060000,20170824020000,167,144,10156,180,15,6,0,-9999,,
20170824070000,20170824030000,172,144,10156,0,0,-9999,0,-9999,,
20170824080000,20170824040000,167,144,10153,0,0,-9999,0,-9999,,
20170824090000,20170824050000,150,139,10154,280,15,6,0,-9999,,
20170824100000,20170824060000,144,139,10159,190,15,4,0,-9999,,
20170824110000,20170824070000,144,133,10163,0,0,2,0,-9999,,
20170824120000,20170824080000,150,139,10166,0,0,2,0,-9999,,
20170824130000,20170824090000,178,144,10171,0,0,2,0,-9999,,
20170824140000,20170824100000,194,150,10169,0,0,2,0,-9999,,
20170824150000,20170824110000,206,139,10169,160,15,2,0,-9999,,
20170824160000,20170824120000,222,133,10166,220,31,-9999,0,-9999,,
20170824170000,20170824130000,222,122,10165,210,31,-9999,0,-9999,,
20170824180000,20170824140000,228,122,10166,0,0,6,0,-9999,,
20170824190000,20170824150000,233,100,10160,260,41,-9999,0,-9999,,
20170824200000,20170824160000,222,144,10160,20,72,-9999,0,-9999,,
20170824210000,20170824170000,200,144,10165,20,62,6,0,-9999,,
20170824220000,20170824180000,200,139,10167,60,41,-9999,0,-9999,,
20170824230000,20170824190000,194,133,10169,20,51,-9999,0,-9999,,
20170825000000,20170824200000,161,150,10183,270,31,8,10,5,,
20170825010000,20170824210000,167,144,10183,30,26,-9999,13,-9999,,
20170825020000,20170824220000,156,128,10188,350,51,-9999,0,-9999,,
20170825030000,20170824230000,150,106,10191,40,21,8,0,-9999,,
20170825040000,20170825000000,139,117,10192,0,0,-9999,0,-9999,,
20170825050000,20170825010000,128,117,10197,0,0,-9999,0,-9999,,
20170825060000,20170825020000,122,111,10200,300,26,8,0,20,,
20170825070000,20170825030000,122,111,10205,270,15,4,0,-9999,,
20170825080000,20170825040000,122,111,10206,300,21,2,0,-9999,,
20170825090000,20170825050000,117,111,10209,280,15,4,0,-9999,,
20170825100000,20170825060000,111,106,10217,0,0,4,0,-9999,,
20170825110000,20170825070000,111,100,10222,0,0,4,0,-9999,,
20170825120000,20170825080000,128,117,10229,0,0,0,0,-9999,,
20170825130000,20170825090000,144,128,10233,260,15,2,0,-9999,,
20170825140000,20170825100000,167,133,10234,0,0,2,0,-9999,,
20170825150000,20170825110000,189,133,10234,350,36,4,0,-9999,,
20170825160000,20170825120000,194,111,10234,310,21,4,0,-9999,,
20170825170000,20170825130000,211,94,10234,310,26,-9999,0,-9999,,
20170825180000,20170825140000,222,106,10234,340,36,6,0,-9999,,
20170825190000,20170825150000,211,94,10235,350,41,-9999,0,-9999,,
20170825200000,20170825160000,217,100,10234,310,51,-9999,0,-9999,,
20170825210000,20170825170000,211,89,10234,330,31,6,0,-9999,,
20170825220000,20170825180000,211,100,10236,20,46,4,0,-9999,,
20170825230000,20170825190000,206,111,10238,30,31,2,0,-9999,,
20170826000000,20170825200000,194,117,10241,-9999,15,2,0,-9999,,
20170826010000,20170825210000,189,117,10245,20,15,2,0,-9999,,
20170826020000,20170825220000,178,122,10248,20,21,2,0,-9999,,
20170826030000,20170825230000,167,122,10252,10,31,0,0,-9999,,
20170826040000,20170826000000,161,111,10255,360,26,0,0,-9999,,
20170826050000,20170826010000,150,111,10253,360,26,0,0,-9999,,
20170826060000,20170826020000,144,117,10254,340,15,0,0,-9999,,
20170826070000,20170826030000,139,117,10255,0,0,0,0,-9999,,
20170826080000,20170826040000,122,111,10254,0,0,0,0,-9999,,
20170826090000,20170826050000,122,111,10258,320,21,0,0,-9999,,
20170826100000,20170826060000,122,106,10257,0,0,0,0,-9999,,
20170826110000,20170826070000,117,106,10259,350,15,2,0,-9999,,
20170826120000,20170826080000,128,111,10263,360,21,0,0,-9999,,
20170826130000,20170826090000,144,111,10265,30,31,0,0,-9999,,
20170826140000,20170826100000,167,122,10266,340,15,0,0,-9999,,
20170826150000,20170826110000,189,117,10265,360,26,0,0,-9999,,
20170826160000,20170826120000,200,106,10263,330,21,2,0,-9999,,
20170826170000,20170826130000,222,94,10258,-9999,31,2,0,-9999,,
20170826180000,20170826140000,217,94,10254,-9999,31,4,0,-9999,,
20170826190000,20170826150000,222,83,10249,80,21,4,0,-9999,,
20170826200000,20170826160000,233,94,10244,360,31,4,0,-9999,,
20170826210000,20170826170000,228,89,10242,40,36,4,0,-9999,,
20170826220000,20170826180000,233,89,10242,0,0,4,0,-9999,,
20170826230000,20170826190000,222,94,10240,30,31,4,0,-9999,,
20170827000000,20170826200000,211,89,10241,20,26,6,0,-9999,,
20170827010000,20170826210000,200,94,10244,10,15,-9999,0,-9999,,
20170827020000,20170826220000,189,106,10247,20,21,-9999,0,-9999,,
20170827030000,20170826230000,183,106,10245,30,15,6,0,-9999,,
20170827040000,20170827000000,172,100,10244,20,15,-9999,0,-9999,,
20170827050000,20170827010000,167,106,10242,20,26,-9999,0,-9999,,
20170827060000,20170827020000,156,106,10238,20,21,6,0,-9999,,
20170827070000,20170827030000,150,111,10235,0,0,-9999,0,-9999,,
20170827080000,20170827040000,144,117,10230,0,0,-9999,0,-9999,,
20170827090000,20170827050000,139,122,10228,60,21,6,0,-9999,,
20170827100000,20170827060000,144,128,10228,60,15,-9999,0,-9999,,
20170827110000,20170827070000,139,128,10230,80,21,-9999,0,-9999,,
20170827120000,20170827080000,144,128,10234,90,15,8,0,-9999,,
20170827130000,20170827090000,156,139,10232,100,31,-9999,0,-9999,,
20170827140000,20170827100000,183,144,10231,90,21,-9999,0,-9999,,
20170827150000,20170827110000,206,150,10230,120,36,8,0,-9999,,
20170827160000,20170827120000,222,156,10225,160,36,-9999,0,-9999,,
20170827170000,20170827130000,239,161,10221,110,26,-9999,0,-9999,,
20170827180000,20170827140000,239,161,10220,130,31,6,0,-9999,,
20170827190000,20170827150000,244,156,10216,190,21,-9999,0,-9999,,
20170827200000,20170827160000,256,161,10203,140,46,-9999,0,-9999,,
20170827210000,20170827170000,244,161,10201,160,36,6,0,-9999,,
20170827220000,20170827180000,239,167,10199,100,51,-9999,0,-9999,,
20170827230000,20170827190000,239,156,10204,130,46,-9999,0,-9999,,
20170828000000,20170827200000,228,144,10204,130,36,6,0,-9999,,
20170828010000,20170827210000,211,150,10207,110,31,-9999,0,-9999,,
20170828020000,20170827220000,200,150,10208,120,41,-9999,0,-9999,,
20170828030000,20170827230000,194,150,10210,120,41,4,0,-9999,,
